stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022012083209001,Bårslöv Anemongatan,56.009560,12.804629,0,9021012083209000,A
9022012083209002,Bårslöv Anemongatan,56.009616,12.804336,0,9021012083209000,B
9022012083210001,Bårslöv Blodboksvägen,56.005348,12.818396,0,9021012083210000,A
9022012083210002,Bårslöv Blodboksvägen,56.005239,12.820569,0,9021012083210000,B
9022012083211001,Attarp,56.004261,12.832497,0,9021012083211000,A
9022012083211002,Attarp,56.004346,12.831929,0,9021012083211000,B
9022012083212001,Bunketofta,56.002801,12.854755,0,9021012083212000,A
9022012083212002,Bunketofta,56.002839,12.854849,0,9021012083212000,B
9022012083214001,Kärntofta,56.000690,12.869477,0,9021012083214000,A
9022012083214002,Kärntofta,56.000668,12.870040,0,9021012083214000,B
9022012083215001,Hedåker,55.998066,12.887987,0,9021012083215000,A
9022012083215002,Hedåker,55.998149,12.887708,0,9021012083215000,B
9022012083216001,Ödåkra Ödåkragården,56.108023,12.755717,0,9021012083216000,A
9022012083216002,Ödåkra Ödåkragården,56.107806,12.754544,0,9021012083216000,B
9022012083217001,Helsingborg Runristargatan,56.015629,12.755695,0,9021012083217000,A
9022012083217002,Helsingborg Runristargatan,56.015050,12.755548,0,9021012083217000,B
9022012083218001,Helsingborg Fjärilsdalen,56.030747,12.764564,0,9021012083218000,A
9022012083218002,Helsingborg Fjärilsdalen,56.030830,12.764301,0,9021012083218000,B
9022012083219001,Helsingborg Kanongatan,56.080567,12.733110,0,9021012083219000,A
9022012083219002,Helsingborg Kanongatan,56.080440,12.733055,0,9021012083219000,B
9022012083220001,Helsingborg Karbingatan,56.083022,12.734264,0,9021012083220000,A
9022012083220002,Helsingborg Karbingatan,56.083006,12.733976,0,9021012083220000,B
9022012083221001,Helsingborg Ishallen,56.054302,12.704079,0,9021012083221000,A
9022012083221002,Helsingborg Ishallen,56.054365,12.703736,0,9021012083221000,B
9022012083225001,Allerums skola,56.111695,12.693669,0,9021012083225000,A
9022012083225002,Allerums skola,56.111636,12.693465,0,9021012083225000,B
9022012083225003,Allerums skola,56.111823,12.694125,0,9021012083225000,C
9022012083227001,Helsingborg Bärnstensgatan,56.012709,12.756101,0,9021012083227000,A
9022012083227002,Helsingborg Bärnstensgatan,56.012771,12.757861,0,9021012083227000,B
9022012083229001,Helsingborg Koppargatan,56.013574,12.717565,0,9021012083229000,A
9022012083229002,Helsingborg Koppargatan,56.013594,12.717676,0,9021012083229000,B
9022012083230001,Helsingborg Muskötgatan,56.074861,12.728776,0,9021012083230000,A
